task,feature_set,method,fold,n_train,n_test,input_features,selected_features,silhouette,davies_bouldin,calinski_harabasz,centroid_ratio,mean_centroid_distance,mean_within_scatter,nearest_centroid_balanced_accuracy,nearest_centroid_macro_f1,binary_auc,auc_ovr_3class,runtime_sec,status
binary_acl_vs_ha,scalar_pivot,pca,1,63,16,864,160,0.29872994097616207,2.150835065671428,1.7144689950037784,1.274833104753203,14.348870368105219,11.255489298642773,0.6636363636363636,0.6536796536796536,0.8363636363636364,,0.009,ok
binary_acl_vs_ha,scalar_pivot,pca,2,63,16,864,160,0.11193894492274103,1.1717793321774495,4.59813314622481,1.4810315394244378,6.871971636098739,4.639990069873423,0.6727272727272727,0.6190476190476191,0.8727272727272727,,0.017,ok
binary_acl_vs_ha,scalar_pivot,pca,3,63,16,864,160,0.1483095046148291,1.6683777601478385,3.3454605361706764,1.1823124314676383,3.559651874289695,3.010753993232565,0.6090909090909091,0.6135265700483092,0.8,,0.025,ok
binary_acl_vs_ha,scalar_pivot,pca,4,63,16,864,160,0.2950068309200178,0.8829288043771727,8.968735507363165,1.9950468025623946,8.002101449158854,4.01098432321544,0.8636363636363636,0.8056680161943319,1.0,,0.033,ok
binary_acl_vs_ha,scalar_pivot,pca,5,64,15,864,160,0.2622081944460926,0.9866539690955798,9.403279011188513,2.0048309023440583,7.088739692189807,3.535829223253501,0.8500000000000001,0.8500000000000001,0.9600000000000001,,0.041,ok
binary_acl_vs_ha,scalar_pivot,lda,1,63,16,864,160,0.43269479197348587,1.6364213141406503,2.3220215919157337,1.9444712141627676,272.47875783853243,140.13000339316096,0.6545454545454545,0.6666666666666667,0.7727272727272727,,0.008,ok
binary_acl_vs_ha,scalar_pivot,lda,2,63,16,864,160,0.06110568936690527,1.1926220282437834,3.5972111402285383,1.4702058013685464,4.225220164777879,2.8738970835544366,0.8090909090909091,0.7922077922077921,0.8090909090909091,,0.017,ok
binary_acl_vs_ha,scalar_pivot,lda,3,63,16,864,160,0.02853401939867603,2.0583579084806045,1.5546182085150961,0.9044945131474813,1.532925586476471,1.6947870486711527,0.4636363636363636,0.45893719806763283,0.7454545454545455,,0.025,ok
binary_acl_vs_ha,scalar_pivot,lda,4,63,16,864,160,0.5481974734750269,0.5243936799249993,25.27816134109101,3.811232199685043,5.078199159773338,1.3324297480990521,0.9090909090909092,0.8666666666666667,1.0,,0.033,ok
binary_acl_vs_ha,scalar_pivot,lda,5,64,15,864,160,0.25898231007094213,3.415500302560777,0.7238166455589456,0.6901126709316627,1.4027612965294503,2.032655471512646,0.75,0.7619047619047619,0.73,,0.041,ok
binary_acl_vs_ha,scalar_pivot,plsda,1,63,16,864,160,0.41799456625029197,1.676269020728245,2.2772546205968514,1.8661357554085158,104.79997424940302,56.158815855527756,0.7090909090909091,0.7090909090909091,0.8727272727272728,,0.008,ok
binary_acl_vs_ha,scalar_pivot,plsda,2,63,16,864,160,0.13327957922511863,1.198008133224282,4.72058737935545,1.5333910823181203,6.193994637999778,4.039409586650224,0.8636363636363636,0.8056680161943319,0.9090909090909091,,0.015,ok
binary_acl_vs_ha,scalar_pivot,plsda,3,63,16,864,160,0.08193120159287849,2.120124370823698,2.0810474135713863,0.9322711966851482,2.75266994322405,2.9526493503302955,0.5636363636363637,0.5636363636363637,0.8181818181818181,,0.023,ok
binary_acl_vs_ha,scalar_pivot,plsda,4,63,16,864,160,0.4863585252179706,0.6584243116517559,18.603385923022145,2.850815830157426,8.076684837297728,2.8331135080205176,0.9090909090909092,0.8666666666666667,1.0,,0.031,ok
binary_acl_vs_ha,scalar_pivot,plsda,5,64,15,864,160,0.2974214665673739,0.9074967384385181,10.414437992613163,2.2217182427154487,6.495154164178199,2.9234823927266462,0.9,0.9206349206349206,0.9600000000000001,,0.038,ok
