task,feature_set,method,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std,centroid_ratio_mean,centroid_ratio_std,mean_centroid_distance_mean,mean_centroid_distance_std,mean_within_scatter_mean,mean_within_scatter_std,nearest_centroid_balanced_accuracy_mean,nearest_centroid_balanced_accuracy_std,nearest_centroid_macro_f1_mean,nearest_centroid_macro_f1_std,binary_auc_mean,binary_auc_std,auc_ovr_3class_mean,auc_ovr_3class_std,selected_features_mean,selected_features_std
binary_acl_vs_ha,fusion_scalar_raw,rf_proba,0.6466300438933055,0.10107677296287779,0.4074986085939267,0.07808775357361149,48.1659874635412,20.214603253405592,5.143436192849007,1.6542708575730964,0.9071740579738796,0.1039588210509957,0.18772582903606672,0.05199769769368589,0.9550000000000001,0.06224949798994364,0.9467643467643467,0.08220068234630173,1.0,0.0,,,160.0,0.0
binary_acl_vs_ha,fusion_all_common,rf_proba,0.6409938531187608,0.11524788142630277,0.4151903980554053,0.0879090457818862,48.85899690919841,23.140461873461028,5.150828634387795,1.7729713504194,0.8982246210067961,0.09914446638075908,0.1888313808411699,0.061011082459719326,0.9550000000000001,0.06224949798994364,0.9467643467643467,0.08220068234630173,1.0,0.0,,,160.0,0.0
binary_acl_vs_ha,pca_raw_subject,rf_proba,0.626537368398936,0.10544132410164872,0.43853041331303644,0.09429867020693018,44.53891941346926,22.901234818934395,4.824022782028974,1.7235724156832348,0.888862263791897,0.12845542317021955,0.19648530614801793,0.051795449223078695,0.9459090909090909,0.05714451739028508,0.9329115329115328,0.07663416633516038,0.9963636363636365,0.008131156281817365,,,160.0,0.0
binary_acl_vs_ha,fusion_all_common,plsda,0.548709764805184,0.20112810802375405,0.724572443035487,0.41100512628595015,28.777024861428288,19.088592213238066,3.6578403628025136,1.4969667949452594,16.724926179283255,5.777169408842141,4.723412700414426,0.5185579426514354,0.8516666666666666,0.15946960699630372,0.8540215822824517,0.16252246198175144,0.9800000000000001,0.04472135954999574,,,160.0,0.0
binary_acl_vs_ha,fusion_scalar_raw,plsda,0.5473288811153341,0.19977906763438533,0.7267548073218991,0.40870096875135375,28.288892656137893,18.508886443236722,3.6370476552684408,1.4738040346270185,16.75665032825716,5.804438796270627,4.748888083084479,0.5007299391159705,0.8516666666666666,0.15946960699630372,0.8540215822824517,0.16252246198175144,0.9800000000000001,0.04472135954999574,,,160.0,0.0
binary_acl_vs_ha,pca_raw_subject,plsda,0.5381490729027559,0.20181330647927084,0.7349730646854361,0.4124772651713959,27.328087823610247,17.729891687272954,3.5785991259891903,1.4386041747119362,16.769892826357093,5.867404330606187,4.8171968247703365,0.4723911476199494,0.8516666666666666,0.15946960699630372,0.8540215822824517,0.16252246198175144,0.9763636363636363,0.04340849595023022,,,160.0,0.0
binary_acl_vs_ha,fusion_all_common,pca,0.5294591457148504,0.2122294281397357,0.765651319897166,0.42925036141048273,25.680391514137312,17.619552295042567,3.4387476179442578,1.4041033874118962,16.977422799884387,6.126607143870863,5.054013809048266,0.4016739525672371,0.8516666666666666,0.15946960699630372,0.8540215822824517,0.16252246198175144,0.9800000000000001,0.04472135954999574,,,160.0,0.0
binary_acl_vs_ha,fusion_scalar_raw,pca,0.5293648912231552,0.21212852007845084,0.7656406376823812,0.42920905971802,25.732636393858456,17.70361214985763,3.4418194785219045,1.407289233058808,17.00791729398384,6.153269274214194,5.057720408294704,0.3986755597567598,0.8516666666666666,0.15946960699630372,0.8540215822824517,0.16252246198175144,0.9800000000000001,0.04472135954999574,,,160.0,0.0
binary_acl_vs_ha,scalar_pivot,rf_proba,0.5273027948099506,0.20593573429978926,0.5776448090838966,0.26023632237037675,36.29010096107604,30.044867695864475,4.1008863923298815,1.6705182786139239,0.44561597465521474,0.06459248851975738,0.12038909284959871,0.037212651189529544,0.8833333333333334,0.12472191289246472,0.8947680097680097,0.12034056809290011,0.966,0.042190046219457926,,,160.0,0.0
binary_acl_vs_ha,pca_raw_subject,pca,0.5265852758498392,0.21306395570316417,0.7690527308478242,0.4327375645783217,25.740142089195075,18.027068594797992,3.433220679866783,1.4159074961365503,17.038581802598223,6.213681826757632,5.0794421373254846,0.39831143173592176,0.8316666666666667,0.14147045235274003,0.8381485664094359,0.14792065257854953,0.9763636363636363,0.04340849595023022,,,160.0,0.0
