task,feature_set,method,fold,group_a,group_b,centroid_distance,within_scatter,distance_within_ratio
multiclass_3group,fusion_all_common,lda,2,ACLR,HA,26.902031091696827,12.43382790438136,2.1636161686150768
multiclass_3group,fusion_all_common,lda,3,ACLD,ACLR,12.167293396349814,8.488371743965002,1.4334072261856843
multiclass_3group,fusion_all_common,lda,3,ACLD,HA,6.645572417080271,5.538545018337297,1.1998769342991293
multiclass_3group,fusion_all_common,lda,3,ACLR,HA,14.222770826182568,9.626160775294515,1.4775122874204663
multiclass_3group,fusion_all_common,lda,4,ACLD,ACLR,14.48002536467532,51.490469416144116,0.28121758315404505
multiclass_3group,fusion_all_common,lda,4,ACLD,HA,55.6896942358032,50.413526074235236,1.104657788741035
multiclass_3group,fusion_all_common,lda,4,ACLR,HA,54.41217985882075,21.19482043808638,2.5672394827673974
multiclass_3group,fusion_all_common,lda,5,ACLD,ACLR,3.353557505475255,12.635822615885242,0.26540080590078075
multiclass_3group,fusion_all_common,lda,5,ACLD,HA,22.237570982250492,18.563339854971304,1.1979294219674173
multiclass_3group,fusion_all_common,lda,5,ACLR,HA,19.42192971362561,16.55320316330417,1.1733034097401132
multiclass_3group,fusion_all_common,plsda,1,ACLD,ACLR,0.5333946020533239,2.0575157249071165,0.25924205370406256
multiclass_3group,fusion_all_common,plsda,1,ACLD,HA,18.45564039633003,4.109966452783923,4.4904601067556
multiclass_3group,fusion_all_common,plsda,1,ACLR,HA,18.825246594482227,4.072003716673647,4.623091702347526
multiclass_3group,fusion_all_common,plsda,2,ACLD,ACLR,1.0672640067538985,4.424865857235319,0.24119691787012298
multiclass_3group,fusion_all_common,plsda,2,ACLD,HA,17.162607265487534,5.957541220072235,2.8808205653135937
multiclass_3group,fusion_all_common,plsda,2,ACLR,HA,16.464480130245565,8.00246360514309,2.0574264304887353
multiclass_3group,fusion_all_common,plsda,3,ACLD,ACLR,1.8413101387707098,2.9703626616861456,0.6198940494779442
multiclass_3group,fusion_all_common,plsda,3,ACLD,HA,13.124836342670969,5.714472996026506,2.2967710848921983
multiclass_3group,fusion_all_common,plsda,3,ACLR,HA,13.067918521065863,6.213409131127238,2.103180113409831
multiclass_3group,fusion_all_common,plsda,4,ACLD,ACLR,3.233098939364992,3.4020455011857025,0.9503397112819837
multiclass_3group,fusion_all_common,plsda,4,ACLD,HA,11.157084915866443,6.084067379816379,1.8338200778116909
multiclass_3group,fusion_all_common,plsda,4,ACLR,HA,12.333764476383362,6.918508910210117,1.7827200393110112
multiclass_3group,fusion_all_common,plsda,5,ACLD,ACLR,1.8980650296949555,3.2259414860417763,0.5883755294098274
multiclass_3group,fusion_all_common,plsda,5,ACLD,HA,22.927205303312803,2.0791800586597153,11.027041745529331
multiclass_3group,fusion_all_common,plsda,5,ACLR,HA,21.23464827869007,3.515285734966998,6.040660668766212
multiclass_3group,fusion_all_common,nca,1,ACLD,ACLR,15.674924829844736,20.314822026422373,0.7716004013944706
multiclass_3group,fusion_all_common,nca,1,ACLD,HA,30.64751960303315,23.907174830068765,1.2819381554229843
multiclass_3group,fusion_all_common,nca,1,ACLR,HA,43.844664604191486,21.923839912626136,1.9998624683872532
multiclass_3group,fusion_all_common,nca,2,ACLD,ACLR,8.813891460629172,12.889901320502803,0.6837826947992
multiclass_3group,fusion_all_common,nca,2,ACLD,HA,16.24365315348812,10.130905476090717,1.6033762423135518
multiclass_3group,fusion_all_common,nca,2,ACLR,HA,24.630323199367975,11.517508051190612,2.1385114809467693
multiclass_3group,fusion_all_common,nca,3,ACLD,ACLR,11.949170702160847,8.492708398662977,1.4069917558975684
multiclass_3group,fusion_all_common,nca,3,ACLD,HA,5.676620768400628,5.481097743748942,1.035672238261884
multiclass_3group,fusion_all_common,nca,3,ACLR,HA,13.316207276188218,9.718912792740753,1.3701334254315314
multiclass_3group,fusion_all_common,nca,4,ACLD,ACLR,14.480025364675317,51.49046941614411,0.281217583154045
multiclass_3group,fusion_all_common,nca,4,ACLD,HA,55.68969423580321,50.41352607423523,1.1046577887410352
multiclass_3group,fusion_all_common,nca,4,ACLR,HA,54.41217985882078,21.19482043808639,2.567239482767398
multiclass_3group,fusion_all_common,nca,5,ACLD,ACLR,3.353557505475254,12.635822615885239,0.26540080590078075
multiclass_3group,fusion_all_common,nca,5,ACLD,HA,22.237570982250496,18.5633398549713,1.1979294219674177
multiclass_3group,fusion_all_common,nca,5,ACLR,HA,19.421929713625616,16.553203163304165,1.1733034097401138
multiclass_3group,fusion_all_common,rf_proba,1,ACLD,ACLR,0.19113810381997354,0.20685086935331928,0.9240381943645256
multiclass_3group,fusion_all_common,rf_proba,1,ACLD,HA,0.923653068395437,0.20658428525129935,4.471071297954052
multiclass_3group,fusion_all_common,rf_proba,1,ACLR,HA,0.9598794714314131,0.20753822327946853,4.625073185380654
multiclass_3group,fusion_all_common,rf_proba,2,ACLD,ACLR,0.017755413066557597,0.23835326161547735,0.07449200798100032
multiclass_3group,fusion_all_common,rf_proba,2,ACLD,HA,0.820663787952915,0.21863930304693516,3.753505323682557
multiclass_3group,fusion_all_common,rf_proba,2,ACLR,HA,0.8158142980995916,0.21896228353340366,3.7258211091643805
multiclass_3group,fusion_all_common,rf_proba,3,ACLD,ACLR,0.07859391177125834,0.1985762624067137,0.395787043318835
multiclass_3group,fusion_all_common,rf_proba,3,ACLD,HA,0.6331564635489174,0.2400097916871559,2.638044302685009
multiclass_3group,fusion_all_common,rf_proba,3,ACLR,HA,0.7052254040456145,0.2238163789981164,3.1509106134343705
multiclass_3group,fusion_all_common,rf_proba,4,ACLD,ACLR,0.06581486810722462,0.15521710510991707,0.4240181393707722
multiclass_3group,fusion_all_common,rf_proba,4,ACLD,HA,0.6380990346617156,0.20484633787580503,3.1150131424296417
multiclass_3group,fusion_all_common,rf_proba,4,ACLR,HA,0.6767395376720965,0.23320869382441925,2.901862390180049
multiclass_3group,fusion_all_common,rf_proba,5,ACLD,ACLR,0.17906895118246585,0.22332406660807874,0.8018345443114371
multiclass_3group,fusion_all_common,rf_proba,5,ACLD,HA,0.8951491381812497,0.15590160170152015,5.741757162283993
multiclass_3group,fusion_all_common,rf_proba,5,ACLR,HA,0.7170917492923445,0.2715596088606442,2.6406421496222343
